S,trend_method,ma_len_days,compare_lag_days,ma_short,ma_long,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,turnover
0.2,price_compare,3.0,,,,0.3117723153775622,0.13059915646083886,0.026300689793785432,4.96561715623512,-0.009742789231778848,13.404698937225591,0.5276025561739848,379.0
0.2,price_compare,5.0,,,,0.29243945610902156,0.12347220117174808,0.02628130435886371,4.698100196465533,-0.01288727271308987,9.58094112855506,0.5264247846255798,263.0
0.3,price_compare,3.0,,,,0.2806875036605465,0.11908856588938664,0.026304704793596933,4.527272471743347,-0.012921683999211564,9.216180019311183,0.5255823541537827,375.0
0.3,price_compare,5.0,,,,0.26779969615297405,0.11423352154115753,0.026284374570293787,4.346062001043866,-0.012887272713091091,8.864057127084566,0.5248094764744864,263.0
0.4,price_compare,3.0,,,,0.25075752922083794,0.10773849526686274,0.02630795565498228,4.0952819245937455,-0.02020530276179766,5.332189105850214,0.5248618784530387,359.0
0.4,price_compare,5.0,,,,0.24144139683202837,0.10414956612370782,0.026287452919342584,3.961949696810431,-0.015002052575730063,6.942354427700002,0.5238982770046389,251.0
0.5,price_compare,5.0,,,,0.2102218441670738,0.09192509542457836,0.026290609205109148,3.4964992521631726,-0.01487351178716212,6.180456689718855,0.5208134863107319,243.0
0.5,price_compare,3.0,,,,0.20449109138932542,0.08964748736008687,0.026312942683262248,3.406973079339847,-0.013002713772890417,6.894521322694534,0.5195843984497402,339.0
0.6,price_compare,5.0,,,,0.17861747198369637,0.0792244288985516,0.026293194564810874,3.013115378706416,-0.019053846087754955,4.157923210551467,0.5185169842584921,231.0
0.2,price_compare,10.0,,,,0.17770297455271256,0.07884968671094869,0.02620830176452072,3.008576725779723,-0.01271712554063642,6.200275876729507,0.5184612814301228,223.0
0.6,price_compare,3.0,,,,0.17212578636743192,0.07657410395281995,0.02631597707743472,2.9097952064443886,-0.013781829017585068,5.556164124160475,0.5171105796981941,319.0
0.3,price_compare,10.0,,,,0.15570250822257958,0.06979871726144306,0.02621018798242749,2.6630376443022583,-0.012717125540638752,5.48856084170867,0.5171664856737115,219.0
0.4,price_compare,10.0,,,,0.14956130119646405,0.06724145848187485,0.02621067927409589,2.565422199810359,-0.012717125540637975,5.287473043102598,0.5169994152535293,215.0
0.2,price_compare,20.0,,,,0.12826422379834646,0.05826355823293139,0.026113948807144814,2.231127841415941,-0.014120219399706091,4.126250207850463,0.5163899531715623,125.0
0.7,price_compare,5.0,,,,0.1225444800687907,0.05582824755403655,0.02627166994989049,2.1250361191550087,-0.020744878759615837,2.6911821563747913,0.5154844326520459,203.0
0.7,price_compare,3.0,,,,0.11892095506807321,0.05427769029221283,0.026320050435683397,2.062218323815439,-0.02601587699750829,2.0863294478756704,0.5150490640719056,279.0
0.3,price_compare,20.0,,,,0.11716201359770984,0.05351726319253379,0.02611469531484993,2.0493160095228675,-0.01412021939970698,3.790115555403082,0.5158790974882929,125.0
